Year,GDP
2013,0.273496006330021
2014,-4.87524996257295
2015,-9.44383219053168
2016,2.85480260756702
2017,2.81064547083641
2018,4.01638177635452
2019,3.79372391176472
2020,-3.10165858921107
2021,4.31845848058143
